id1	uid1	bw1	ew1	b1	e1	len1	tok1	s1	gid1	id2	uid2	bw2	ew2	b2	e2	len2	tok2	s2	gid2	matches	score
JK000002-ara1.ms1	1310782102049208430	245	300	1169	1438	1439	300	رسول الله صلي الله عليه وسلم يقول ان حوضي م----ن عدن الي عمان البلقاء ماءه اشد بياضا من اللبن واحلي من العسل واكوابه عدد نجوم السماء من شرب منه شربة لا يظما بعدها ابدا اول الناس ورودا عليه فقراء المهاجرين فقال عمر بن الخطاب -من هم يا رسول الله قال هم الشعث رءوسا الدنس ثيابا------	3982132961308543232	JK000001-ara1.ms3269	-4358881507420354996	71	126	358	633	1486	300	رسول الله صلي الله عليه وسلم----- ان حوضي ما بين عدن الي عمان البلقان ماءه اشد بياضا من اللبن واحلي من العسل واكوابه عدد نجوم السماء من شرب منه شربة لم يظما بعدها ابدا اول الناس ورودا عليه فقراء المهاجرين فقال عمر بن الخطاب ومن هم يا رسول الله قال هم الشعث رءوسا الدنس ثيابا الذين	8989071251619580677	262	496.0
JK000002-ara1.ms10	9061899748091509484	12	93	53	432	1471	300	-خرج ايوب في سفر فتبعه ناس كثير-- فقال لولا اني اعلم ان الله عز وجل يعلم من قلبي اني لهذا كاره لخشيت المقت من الله عز وجل وبه حدثنا سليمان بن حرب عن حماد بن زيد قال دفع الي ايوب ثوبا فقال اقطعه لي قميصا واجعل فم كمه شبرا واجعله يقع علي ظهر القدم حدثنا اسحاق بن ابراهيم عن عبد الرزاق عن معمر قال عاتبت ايوب علي طول قميصه فقال ان الشهرة فيما مضي كانت في طوله وهي اليوم في تشميره حدثنا	3982132961308543232	JK000001-ara1.ms2007	757163648153689343	198	242	967	1178	1483	300	وخرج ايوب في سفر فشيعه ناس كثيرون فقال لولا اني اعلم ان الله------- يعلم من قلبي اني لهذا كاره لخشيت المقت من الله عز وجل وقال--------------------------------------------------------------------------------------------------------------------------------------------------------------- معمر---- عاتبت ايوب علي طول قميصه فقال ان الشهرة فيما مضي كانت في طوله وهي اليوم في تشميره وقال-	8989071251619580677	199	347.0
JK000002-ara1.ms12	6477899370715193399	19	192	83	935	1447	300	صلي الله عليه وسلم ما من احد الا ومعه ملكان وعليه حكمة يمسكان---ها فان هو رفع نفسه جبذاها ثم قالا اللهم ضعه وان وضع نفسه قالا اللهم ارفعه بها حدثنا مهدي بن حفص حدثنا اسماعيل ------------------------------------------------------------------------------------------------------------بن عياش عن مطعم بن المقدام الصنعاني عن عنبسة بن سعيد الكلاعي عن نصيح العنسي عن ركب المصري قال قال---- رسول الله صلي الله عليه وسلم طوبي لمن تواضع في غير منقصة وذل من غير مسكنة وانفق مالا جمعه في غير معصية ورحم اهل الذل والمسكنة وخالط اهل الفقه والحكمة حد-ثنا-------------------------- الحسن بن منصور بن سليمان القرشي حدثنا يحيي بن ميمون حدثني ابو--------------------------------------------------------------------- سلمة المديني عن ابيه عن جده قال صلي رسول الله صلي الله عليه وسلم عندنا بقباء وكان صاءما فاتيناه عند افطاره بقدح من لبن وجعلنا فيه شيءا من عسل فلما رفعه فذاقه وجد حلاوة العسل ق-ال ما هذا قلنا يا رسول الله جعلنا فيه شيءا من عسل فوضعه فقال اما اني لا احرمه ومن تواضع---- رفعه الله ومن تكبر وضعه الله ومن اقتصد اغناه و-----من بذر افقره الله ومن اكثر ذكر الله احبه الله حدثنا احمد	3982132961308543232	JK000001-ara1.ms2129	944599066444230754	38	232	176	1144	1472	300	صلي الله عليه وسلم ما من احد الا ومعه ملكان وعليه حكمة يمسكانه بها فان هو رفع نفسه جبذاها ثم قالا اللهم ضعه وان وضع نفسه قالا اللهم ارفعه حديث ما من احد الا ومعه ملكان وعليه حكمة يمسكانه بها الحديث اخرجه العقيلي في الضعفاء والبيهقي في الشعب من حديث ابي هريرة والبيهقي ايضا من حديث ا--------------------------------------------------------------------------------------بن عباس وكلاهما ضعيف وقال صلي الله عليه وسلم طوبي لمن تواضع في غير مسكنة -----------------وانفق مالا جمعه في غير معصية ورحم اهل الذل والمسكنة وخالط اهل الفقه والحكمة حديث طوبي لمن تواضع في غير مسكنة الحديث اخرجه البغوي وابن قانع والطبراني من حديث ركب المصري والبزار من حديث انس وقد تقدم بعضه في العلم وبعضه في افات اللسان وعن ابي سلمة المديني عن ابيه عن جده قال كان رسول الله صلي الله عليه وسلم عندنا بقباء وكان صاءما فاتيناه عند افطاره بقدح من لبن وجعلنا فيه شيءا من عسل فلما رفعه وذاقه وجد حلاوة العسل فقال ما هذا قلنا يا رسول الله جعلنا فيه شيءا من عسل فوضعه وقال اما اني لا احرمه ومن تواضع لله رفعه الله ومن تكبر وضعه الله ومن اقتصد اغناه الله ومن بذر افقره الله ومن اكثر ذكر الله احبه الله حديث ابي--	8989071251619580677	629	1116.5
JK000002-ara1.ms12	6477899370715193399	224	270	1074	1301	1447	300	الخيار قال سمعت عمر بن الخطاب يقول في العبد اذا تواضع لله عز وجل رفع الله حكمته وقال انتعش رفعك الله واذا تكبر وعدا طوره وهصه الله الي الارض وقال اخسا خساك الله فهو في نفسه عظيم وفي اعين الناس حقير حتي انه------ عندهم من الخنزير ايها	3982132961308543232	JK000001-ara1.ms2132	4854982435122694914	140	184	741	959	1529	300	الاثار قال----- عمر رضي الله عنه ان-- العبد اذا تواضع لله -------رفع الله حكمته وقال انتعش رفعك الله واذا تكبر وعدا طوره رهصه الله في- الارض وقال اخسا خساك الله فهو في نفسه كبير وفي اعين الناس حقير حتي انه لاحقر عندهم من الخنزير وقال	8989071251619580677	185	320.5
JK000002-ara1.ms13	883532010343835533	165	217	778	1027	1414	300	كان النبي صلي الله عليه وسلم ----في نفر من اصحابه في بيت- ياكلون فقام ساءل علي الباب وبه زمانة يتكره منها فاذن له فلما دخل اجلسه رسول الله صلي الله عليه وسلم علي فخذه ثم قال--- اطعم وكان رجل -من قريش اشماز منه ويكرهه فما مات ذلك الرجل حتي كانت به زمانة يتكره	3982132961308543232	JK000001-ara1.ms2130	7247495869771474447	61	115	292	548	1530	300	-ان النبي صلي الله عليه وسلم كان في نفر من اصحابه في بيته ياكلون فقام ساءل علي الباب وبه زمانة يتكره منها فاذن له فلما دخل اجلسه رسول الله صلي الله عليه وسلم علي فخذه ثم قال له اطعم فكان رجلا من قريش اشماز منه وتكر-ه فما مات ذلك الرجل حتي كانت به زمانة مثلها	8989071251619580677	239	440.5
JK000002-ara1.ms13	883532010343835533	4	109	19	525	1414	300	لقيت جرير بن عبد الله وهو جاء من الشام فسار بي فقال انتهيت مرة الي شجرة تحتها رجل قاءم قد استظل بنطع له وقد جاوزت الشمس النطع فسويته عليه ثم ان الرجل استيقظ فاذا هو سلمان الفارسي فذكرت له ما صنعت فقال--- يا جرير تواضع لله عز وجل في الدنيا فانه من تواضع لله عز وجل في الدنيا رفعه الله يوم القيامة يا جرير اتدري ما ظلمة النار يوم القيامة قلت لا قال فانه ظلم ------بعضهم بعضا في الدنيا حدثنا علي بن الجعد عن مسعر عن سعيد بن ابي بردة عن ابيه عن الاسود عن عاءشة رضي الله عنها قالت انكم لتغفلو---ن افضل العبادة- التواضع حدثنا	3982132961308543232	JK000001-ara1.ms2132	4854982435122694914	184	264	955	1356	1529	300	وقال جرير بن عبد الله------------------------------ انتهيت مرة الي شجرة تحتها رجل ناءم قد استظل بنطع له وقد جاوزت الشمس النطع فسويته عليه ثم ان الرجل استيقظ فاذا هو سلمان الفارسي فذكرت له ما صنعت فقال لي يا جرير تواضع لله------- في الدنيا فانه من تواضع لله------- في الدنيا رفعه الله يوم القيامة يا جوير اتدري ما ظلمة النار يوم القيامة قلت لا قال ا-نه ظلم الناس بعضهم----- في الدنيا وقالت-------------------------------------------------------------- عاءشة رضي الله عنها----- انكم لتغفلون عن افضل العبادات التواضع وقال-	8989071251619580677	372	631.5
JK000002-ara1.ms13	883532010343835533	4	65	19	311	1414	300	لقيت جرير بن عبد الله وهو جاء من الشام فسار بي فقال انتهيت مرة الي شجرة تحتها رجل قاءم--------- قد استظل بنطع له وقد جاوزت الشمس-------------------------------- النطع فسويته عليه ثم ان الرجل استيقظ فاذا هو سلمان الفارسي فذكرت له ما صنعت فقال يا جرير تواضع لله عز وجل في الدنيا فانه من تواضع لله عز وجل في الدنيا رفعه الله يوم القيامة	3982132961308543232	JK000001-ara1.ms3287	2123272728203246187	253	300	1235	1470	1471	300	وقال جرير بن عبد الله نزلنا الصفاح فاذ--------------------------------------ا رجل ناءم تحت شجرة قد كاد-------------------ت الشمس ان تبلغه فقلت للغلام انطلق بهذا النطع فاظله فانطلق فاظله فلما استيقظ فاذا هو سلمان فاتيته اسلم عليه فق--------ال يا جرير تواضع لله فان ------------------من تواضع لله------- في الدنيا رفعه الله يوم--------	8989071251619580677	129	143.5
JK000002-ara1.ms14	5528906482000749420	28	110	131	559	1508	300	صلي الله عليه وسلم خيرني ربي بين امري--------ن عبدا رسولا او ملكا نبيا فلم ادر ايهما اختار وكان صفيي من الملاءكة جبريل فرفعت راسي----- فقال تواضع لربك فقلت عبدا رسولا حدثنا محمد بن الحسين حدثنا ابراهيم بن الاشعث حدثنا عبد الله بن ميمون القداح عن اسماعيل بن امية قال قال ال-------------------------------------------------------------------------------------------------------له تبارك وتعالي ل---موسي صلي- الله عليه وسلم اني انما اقبل صلاة من تواضع لعظمتي ولم يتع-ظم علي خلقي والزم قلبه خوفي وقطع النهار- بذكري وكف نفسه عن الشهوات من اجلي واطعم الجاءع	3982132961308543232	JK000001-ara1.ms2130	7247495869771474447	157	244	755	1208	1530	300	صلي الله عليه وسلم خيرني ربي بين امرين ان اكون عبدا رسولا او ملكا نبيا فلم ادر ايهما اختار وكان صف-ي من الملاءكة جبريل فرفعت راسي اليه فقال تواضع لربك فقلت عبدا رسولا حد----------------------------------------يث خيرني ربي بي-------------------------------ن امرين عبدا رسولا وملكا نبيا الحديث اخرجه ابو يعلي من حديث عاءشة والطبراني من حديث ابن عباس وكلا الحديثين ضعيف واوحي الله -------تعالي الي موسي عليه السلا--------م---- انما اقبل صلاة من تواضع لعظمتي ولم يتعاظم علي خلقي والزم قلبه خوفي وقطع --نهاره بذكري وكف نفسه عن الشهوات من اجلي وقال صلي----	8989071251619580677	298	492.0
JK000002-ara1.ms14	5528906482000749420	171	212	877	1091	1508	300	يوسف بن اسباط قال يجزء قليل الورع من كثير العمل ويجزء قليل التواضع من كثير الاجتهاد حدثنا محمد بن علي حدثنا ابراهيم بن الاشعث قال سالت الفضي--------ل عن التواضع قال التواضع ان تخضع للحق وتنقاد له ولو سمعته من صبي قبلته منه	3982132961308543232	JK000001-ara1.ms2132	4854982435122694914	265	299	1357	1528	1529	300	يوسف بن اسباط---- يجزي قليل الورع من كثير العمل ويجزي قليل التواضع من كثير الاجتهاد وقال---------------------------------------------- الفضيل وقد سءل عن التواضع ما هو فقال- ان تخضع للحق وتنقاد له ولو سمعته من صبي قبلته ولو	8989071251619580677	146	252.0
JK000002-ara1.ms14	5528906482000749420	214	299	1096	1507	1508	300	سمعته من اجهل الناس قبلته منه حدثني محمد بن هارون حدثني ابو صالح الفراء قال سمعت بن المبارك يقول راس التواضع ان تضع نفسك عند من هو دونك في نعمة الدنيا حتي تعلمه ان- ليس لك بدنياك عليه فضل وان ترفع نفسك عمن هو فوقك في نعمة الدنيا حتي تعلمه انه ليس له بدنياه عليك فضل حدثنا نصر بن طرخان البلخي ابو محمد حدثنا عمر بن خالد عن قتادة قال من اعطي مالا او جمالا و--ثيابا و--علما ثم لم يتواضع---- كان عليه وبالا يوم القيامة حدثنا	3982132961308543232	JK000001-ara1.ms2133	7368023713834176054	0	63	1	303	1489	300	سمعته من اجهل الناس قبلته وقال ا-------------------------------------------------بن المبارك----- راس التواضع ان تضع نفسك عند من--- دونك في نعمة الدنيا حتي تعلمه انه ليس لك بدنياك عليه فضل وان ترفع نفسك عمن هو فوقك في----- الدنيا حتي تعلمه انه ليس له بدنياه عليك فضل وقال--------------------------------------------------- قتادة م----ن اعطي مالا او جمالا او ثيابا او علما ثم لم يتواضع فيه كان عليه وبالا يوم القيامة وقيل-	8989071251619580677	276	461.5
