align_len	b1	b2	bw1	bw2	ch_match	e1	e2	ew1	ew2	gid1	gid2	id1	id2	len1	len2	matches	matches_percent	s1	s2	score	seq1	seq2	series_b1	series_b2	tok1	tok2	uid1	uid2	w_match
657	172	964	31	201	169	680	1399	135	296	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0092	Shamela0009783-ara1.completed.ms0025	1510	1415	225	34.24657534246575	ذلك حدثنا أبو كريب محمد بن العلاء قال حدثنا عثمان بن سعيد قال حدثنا بشر بن عمارة قال حدثنا أبو روق ع-----------ن الضحاك عن عبد الله بن عباس يوم الدين الفاتحة قال يوم حساب الخلائق هو يوم القيامة يدينهم بأعمالهم إن خيرا فخير وإن شرا فشر إلا من عفا عنه فالأمر أمره ثم قال ألا له الخلق والأمر الأعراف وحدثني---------------------------------------------------------------------------------------------------------------------- موسى بن هارون الهمداني قال حدثنا عمرو بن حماد القناد قال حدثنا أسباط بن نصر الهمداني عن إسماعيل بن عبد الرحمن السدي------------ عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ا--------بن مسعود وعن ناس من أصحاب النبي صلى الله	ذلك حدثني--------- محمد-------------------------- بن س----نان حدثنا أبو ----سلمة قال حدثنا حيان ابن عبيد الله عن الضحاك بن مزاح----------------------------------------------------------------------------------------------------------------------------------------م قال قال ابن عباس إن الله عز وجل خلق العرش أول ما خلق فاستوى عليه وقال آخرون خلق الله عز وجل الماء قبل العرش ثم خلق عرشه فوضعه على الماء ذكر من قال ذلك حدثنا موسى بن هارون الهمداني قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط بن نصر ع-------------------------------ن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن عبد الله بن مسعود وعن ناس من اصحاب -----رسول الله	315.0	92	25	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	2955535321899443438	8069100109666240511	39
244	443	1045	88	210	131	675	1233	134	250	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0092	Shamela0009783-ara1.completed.ms0057	1510	1493	167	68.44262295081968	والأمر الأعراف وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن حماد القناد قال حدثنا أسباط بن نصر الهمداني عن إسماعيل بن عبد الرحمن السدي------------ عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن ناس من أصحاب النبي صلى	والأرض حدثنا--------- موسى بن هارون الهمداني قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط ع--------------------------------------ن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن ناس من أصحاب النبي ص --	294.0	92	57	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	2955535321899443438	6140921868310797887	31
219	458	1318	90	263	124	665	1491	132	300	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0092	Shamela0009783-ara1.completed.ms0059	1510	1491	158	72.14611872146118	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن حماد القناد قال حدثنا أسباط بن نصر الهمداني عن إسماعيل بن عبد الرحمن السدي------------ عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن ناس من أصحاب	-حدثنا موسى بن هارون الهمداني قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط ع--------------------------------------ن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن ناس من اصحاب	281.5	92	59	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	2955535321899443438	-2735635725648978569	29
265	443	8	88	2	141	685	221	136	48	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0092	Shamela0009783-ara1.completed.ms0075	1510	1453	179	67.54716981132076	والأمر الأعراف وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن حماد القناد قال حدثنا أسباط بن نصر الهمداني عن إسماعيل بن عبد الرحمن السدي------------ عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من أصحاب النبي صلى---------- الله عليه	-الخبر الذي ----حدثني موسى بن هارون الهمداني قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط ع--------------------------------------ن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من اصحاب النبي ص قال لما قال الله عز --	292.0	92	75	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	2955535321899443438	-7459388684280684392	30
237	458	78	90	16	130	680	264	135	56	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0092	Shamela0009783-ara1.completed.ms0098	1510	1484	166	70.042194092827	وحدثني--- موسى بن هارون الهمداني قال حدثنا عمرو بن حماد القناد قال حدثنا أسباط بن نصر الهمداني عن إسماعيل بن عبد الرحمن السدي------------ عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن ناس من أصحاب النبي صلى الله	-حدثني به موسى بن هارون الهمداني قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط ع--------------------------------------ن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن ناس من أصحاب رسول----- الله	277.5	92	98	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	2955535321899443438	6113148194757629151	31
246	458	988	90	195	133	680	1188	135	239	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0092	Shamela0009783-ara1.completed.ms0330	1510	1477	170	69.10569105691057	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن حماد القناد قال حدثنا أسباط بن نصر الهمداني عن إسماعيل بن عبد الرحمن السدي------------ عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ا--------بن مسعود وعن ناس من أصحاب النبي ص----لى الله	-حدثنا موسى بن هارون الهمداني قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط ع--------------------------------------ن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن عبد الله بن مسعود وعن ناس من اصحاب النبي ص ثم إن الله	287.5	92	330	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	2955535321899443438	9027934820798930834	30
229	458	514	90	107	130	675	695	134	146	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0092	Shamela0009783-ara1.completed.ms0457	1510	1439	165	72.0524017467249	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن حماد القناد قال حدثنا أسباط بن نصر الهمداني عن إسماعيل بن عبد الرحمن السدي------------ عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن ناس من أصحاب النبي صلى	-حدثنا موسى بن هارون الهمداني قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط ع--------------------------------------ن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن ناس من اصحاب النبي ص --	292.0	92	457	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	2955535321899443438	-5138917600386452128	30
229	458	954	90	192	131	675	1135	134	231	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0092	Shamela0009783-ara1.completed.ms0824	1510	1469	166	72.48908296943232	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن حماد القناد قال حدثنا أسباط بن نصر الهمداني عن إسماعيل بن عبد الرحمن السدي------------ عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن ناس من أصحاب النبي صلى	-حدثنا موسى بن هارون الهمداني قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط ع--------------------------------------ن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن ناس من أصحاب النبي ص --	295.0	92	824	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	2955535321899443438	-3231874693167437939	31
212	467	1201	91	253	135	664	1399	132	296	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0025	1532	1415	174	82.0754716981132	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط -------عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ا--------بن مسعود وعن أناس من أصحاب النبي صلى الله	-حدثنا موسى بن هارون الهمداني قال حدثنا عمرو بن حم-------اد قال حدثنا أسباط بن نصر عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن عبد الله بن مسعود وعن -ناس من اصحاب -----رسول الله	302.5	101	25	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	8069100109666240511	32
192	467	80	91	16	120	659	244	131	52	-4945071420828014136	-1843294196576127462	Shamela0007798-ara1.inProgress.ms0101	Shamela0009783-ara1.completed.ms0032	1532	1496	155	80.72916666666666	وحدثني موسى بن هارون الهمداني قال حدثنا عمرو بن طلحة القناد قال حدثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن أناس من أصحاب النبي صلى	-حدثني موسى بن هارون حد-------------ثنا عمرو بن حماد حد-----------ثنا أسباط عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح عن ابن عباس وعن مرة الهمداني عن ابن مسعود وعن -ناس من أصحاب النبي ص --	282.5	101	32	Shamela0007798-ara1.inProgress	Shamela0009783-ara1.completed	300	300	-2589324845797066703	-3841214855454434499	30
