align_len	b1	b2	bw1	bw2	ch_match	e1	e2	ew1	ew2	gid1	gid2	id1	id2	len1	len2	matches	matches_percent	s1	s2	score	seq1	seq2	tok1	tok2	uid1	uid2	w_match	series_b1	series_b2
232	401	1254	67	217	153	600	1486	106	262	-5334324642317135731	7707327246432207837	Shamela0011680-ara1.completed.ms005	Shamela0011780-ara1.completed.ms006	1689	1695	192	82.75862068965517	الغرض من كتابى هذا تصوير---- الأقاليم التى لم يذكرها أحد علمته ------------أما ذكر مدنها وجبالها وأنهارها وبحارها والمسافات وسائر---- ما أنا ذاكره فقد يوجد فى الأخبار------- ولا يتعذر على من أراد تقصى شىء من ذلك من------ أهل كل بلد	الغرض فى كتابى هذا تصوير هذه الأقاليم التى لم يذكرها أحد علمته ممن شاهدها فأما ذكر مدنها وجبالها وأنهارها وبحارها والمسافات فيها وبعض ما أنا ذاكره فقد يوجد فى الأخبار متفرقا ولا يتعذر على من أراد تقصى شىء من ذلك من سافرة أهل كل بلد	338.0	5	6	300	300	468844419486112487	-8252106649885108490	33	Shamela0011680-ara1.completed	Shamela0011780-ara1.completed
196	1238	1434	219	257	145	1420	1628	250	290	-5334324642317135731	7707327246432207837	Shamela0011680-ara1.completed.ms007	Shamela0011780-ara1.completed.ms256	1671	1678	175	89.28571428571429	ولقيت أبا إسحاق الفارسى وقد صور ------------أرض السند فخلطها وصورة فارس فجودها وكنت قد صورت أذربيجان التى فى هذه الصفحة فاستحسنها والجزيرة فاستجادها وأخرج التى لمصر فاسدة وللمغرب أكثر-- خطأ وهكذا	ولقيت أبا إسحاق الفارسى وقد صور هذه الصورة لأرض السند فخلطها وصور- فارس فجودها وكنت قد صورت اذربيجان التى فى هذه الصفحة فاستحسنها والجزيرة فاستجادها وأخرج التى لمصر فاسدة وللمغرب أكثرها خطأ وقال -	322.0	7	256	300	300	-5670064070184920539	-3754418269771589255	26	Shamela0011680-ara1.completed	Shamela0011780-ara1.completed
244	101	1434	19	257	191	345	1678	62	300	-5334324642317135731	7707327246432207837	Shamela0011680-ara1.completed.ms014	Shamela0011780-ara1.completed.ms256	1567	1678	233	95.49180327868852	ولقيت أبا اسحاق الفارسى وقد صور هذه الصورة لأرض الهند فحلطها وصور فارس فجودها وقد كنت صورت أذربيجان التى فى هذه الصفحة فاستحسنها والجزيرة فاستجادها وأخرج التى لمصر فاسدة وللمغرب أكثرها خطأ وقال قد نظرت فى مولدك وأثرك وأنا أسألك إصلاح كتابى هذا	ولقيت أبا إسحاق الفارسى وقد صور هذه الصورة لأرض السند فخلطها وصور فارس فجودها وكنت قد صورت اذربيجان التى فى هذه الصفحة فاستحسنها والجزيرة فاستجادها وأخرج التى لمصر فاسدة وللمغرب أكثرها خطأ وقال قد نظرت فى مولدك وأثرك وأنا اسألك إصلاح كتابى هذا	455.0	14	256	300	300	-3868589790757740535	-3754418269771589255	36	Shamela0011680-ara1.completed	Shamela0011780-ara1.completed
505	1088	835	205	150	231	1440	1311	268	233	-5334324642317135731	7707327246432207837	Shamela0011680-ara1.completed.ms018	Shamela0011780-ara1.completed.ms005	1617	1704	285	56.43564356435643	-أقاليم الأرض على الممالك وقصدت منها----------------- بلاد الإسلام بتفصيل مدنها وتقسيم ما يعود بالأعمال المجموعة إليها ولم أقصد الأقاليم السبعة التى عليها قسمة الأرض بل------------------------------------------------------------------ جعلت -كل قطعة أفردتها مفردة مصورة ت-حكى موضع ذلك الإقليم ثم ذكرت ما يحيط به من الأماكن و--------ما فى أضعافه م-ن المدن والبقاع المشهورة والبحار و--------------------------------------------------الأنه--------ار وما يحتاج إلى معرفته من جوامع ما يشتمل عليه ذلك الإقليم من	وأقاليم البلدان ومحل الغامر---- منها والعمران من جميع بلاد الإسلام بتفصيل مدنها وتقسيم ما تفرد بالأعمال المجموعة اليها ولم أقصد الأقاليم السبعة التى عليها قسمة الأرض لأن الصورة الهندية التى بالقواذيان وإن كانت صحيحة فكثيرة التخليط وقد جعلت لكل قطعة أفردتها تصويرا وشكلا يحكى موضع ذلك الإقليم ثم ذكرت ما يحيط به من الأماكن والبقاع وما فى أضعافها من المدن------------------------- والأصقاع وما لها من القوانين والارتفاع وما فيها من الأنهار والبحار وما يحتاج الى معرفته من جوامع ما يشتمل عليه ذلك الإقليم من	475.0	18	5	300	300	-5113857489516028436	-6514506074800318220	43	Shamela0011680-ara1.completed	Shamela0011780-ara1.completed
431	150	1	31	0	181	540	295	105	52	-5334324642317135731	7707327246432207837	Shamela0011680-ara1.completed.ms019	Shamela0011780-ara1.completed.ms007	1574	1660	222	51.508120649651964	لجميع الأرض التى يشتمل عليها البحر المحيط الذي لا يسلك صورة إذا نظر إليها ناظر علم--------------------------------- مكان كل إقليم مما ذكرناه واتصال بعضه ببعض ومقدار كل إقليم من الأرض حتى إذا رأى كل إقليم من ذلك مفصلا علم موقعه من هذه الصورة ولم تتسع هذه الصورة التى جمعت سائر الأقاليم لما يستحقه كل إقليم فى -------صورته- من مقدار الطول والعرض والاستدارة والتربيع والتثليث وسائر ما يكون عليه أشكال تلك الصورة فاكتفيت ببيان موقع كل	لجميع الأرض التى يشتمل عليها البحر المحيط الذي لا يسلك صورة تضاهى صورة القواذيان من جهة وتخالفها فى مواضع وأعربت عن مكان كل إقليم مما ذكرت-ه واتصال بعضه ببعض ومقدار----------------------------------------------------------------------------------------------------------------------------------ه كل ناحية فى سعتها وصورتها من مقدار الطول والعرض والاستدارة والتربيع والتثليث وسائر ما يكون عليه أشكال تلك الصورة والعمل و------موقع كل	353.0	19	7	300	300	-3892288305845753035	-8501417085032708047	37	Shamela0011680-ara1.completed	Shamela0011780-ara1.completed
270	1211	1443	237	255	191	1468	1706	280	300	-5334324642317135731	7707327246432207837	Shamela0011680-ara1.completed.ms019	Shamela0011780-ara1.completed.ms010	1574	1706	233	86.29629629629629	النهر-- فهذه صورة الأرض عامرها والخراب منها وهى مقسومة على الممالك وعماد ممالك الأرض أربعة فأعمرها وأكثرها خيرا وأحسنها استقامة فى السياسة وتقويم العمارات ----------فيها مملكة إيران-شهر وقصبتها إقليم بابل وهى مملكة فارس وكان حد هذه المملكة فى أيام العجم معلوما فلما جاء	الصين ب فهذه جميع الارض عامرها وغامر-----ها وهى مقسومة على الممالك وعماد ممالك الأرض أربع- فأعمرها وأكثرها خيرا وأحسنها استقامة فى السياسة وتقويم العمارات ووفور الجبايات مملكة ايران شهر وقطب-ها إقليم بابل وهي مملكة فارس وكان حد هذه المملكة فى أيام العجم معلوما فلما جاء	415.0	19	10	300	300	-3892288305845753035	-7857471203771344351	33	Shamela0011680-ara1.completed	Shamela0011780-ara1.completed
539	312	1	63	0	269	823	480	160	93	-5334324642317135731	7707327246432207837	Shamela0011680-ara1.completed.ms019	Shamela0011780-ara1.completed.ms018	1574	1582	342	63.4508348794063	كل إقليم من ذلك مفصلا علم موقعه من هذه الصورة ولم تتسع هذه الصورة التى جمعت سائر الأقاليم لما يستحقه كل إقليم فى صورته من مقدار الطول والعرض والاستدارة والتربيع والتثليث وسائر ما يكون عليه أشكال تلك الصورة فاكتفيت ببيان موقع كل إقليم ليعرف مكانه------------ ثم أفردت لكل إقليم من بلاد الإسلام صورة على حدة بينت فيها شكل ذلك الإقليم وما يقع فيه------ من المدن وسائر ما يحتاج إليه علمه مما آتى على ذكره فى موضعه إن شاء الله تعالى ففصلت بلاد الإسلام عشرين إقليما وابتدأت بديار العرب فجعلتها إقليما لأن فيها الكعبة ومكة--------- أم القرى وهى -	كل إقليم من مكانه وما يجاوره من سائر الأقاليم ولم تتسع هذه الصورة التى جمعت سائر الأقاليم لما يستحقه كل إقليم فى صورته من مقدار الطول والعرض والاستدارة والتربيع والتثليث و-----ما يكون عليه أشكاله جعلت لكل إقليم مكانا يعرب عن حاله وما يجاوره من سائر الأقاليم ثم أفردت لكل إقليم منها----------- صورة على حدة بينت فيها شكل ذلك الإقليم وما يقع فى أضعافه من المدن وسائر ما يحتاج الى- علمه مما آتى على ذكره فى موضعه إن شاء الله ديار العرب ف---------------------------ابتدأت بديار العرب--------------- لأن القبلة بها- ومكة فيها وهى أم القرى وبلد	545.0	19	18	300	300	-3892288305845753035	7974782992275554899	63	Shamela0011680-ara1.completed	Shamela0011780-ara1.completed
1625	52	81	8	14	1237	1623	1687	290	300	-5334324642317135731	7707327246432207837	Shamela0011680-ara1.completed.ms020	Shamela0011780-ara1.completed.ms011	1680	1687	1515	93.23076923076923	وأخذ- من مملكة الصين ما وراء النهر وانضاف إليه- هذه الممالك العظيمة فمملكة الروم تدخل فيها حدود الصقالبة ومن جاورهم من الروس والسرير واللان والأرمن ومن دان بالنصرانية ومملكة الصين تدخل فيها سائر بلدان الأتراك وبعض التبت ومن دان بدين أهل الأوثان منهم ومملكة الهند تدخل فيها السند وقشمير وطرف من التبت ومن دان بدينهم ولم نذكر بلد-- السودان فى المغرب والبجة والزنج ومن فى أعراضهم من الأمم لأن انتظام الممالك بالديانات والآداب والحكم وتقويم العمارات بالسياسة المستقيمة وهؤلاء مهملون لهذ--ه الخصال ولا حظ لهم فى شىء من ذلك فيستحقون به إفراد ممالكهم بما ذكرنا به سائر الممالك غير أن بعض السودان المقاربين لهذه الممالك المعروفة يرجعون إلى ديانة ورياضة وحكم ويقاربون أهل هذه الممالك مثل النوبة والحبشة فإنهم نصارى يرتسمون بمذاهب الروم وقد كانوا قبل الإسلام يتصلون بمملكة الروم على المجاورة لأن أرض النوبة متاخمة لأرض مصر والحبشة على بحر القلزم وبينه-ا وبين أرض مصر مفاز-------ة فيها مع-دن الذهب ويتصلون بمصر والشام من طريق بحر القلزم فهذه الممالك المعروفة وقد- زادت مملكة الإسلام بما اجتمع إليها من أطرا-ف هذه الممالك-------------------- وقسمة الأرض على الجنوب والشمال فإذا أخذت من المشرق من الخليج الذي يأخذ من البحر المحيط بأرض الصين إلى الخليج الذي يأخذ من هذا البحر المحيط من أرض المغرب ب---أرض الأندلس------ فقد قسمت الأرض قسمين وخط هذه القسمة يأخذ من بحر الصين حتى يقطع بلد الهند ووسط مملكة الإسلام حتى يمتد إلى أرض مصر إلى المغرب فما كان فى حد الشمال من هذين القسمين فأهله بيض وكلما تباعدوا فى الشمال ازدادوا بياضا وهى أقاليم باردة وما كان مما يلى الجنوب من هذين القسمين فإن أهله سود وكلم--------ا تباعدوا فى الجنوب ازدادوا سوادا وأعدل هذه الأماكن ما كان فى الخط المستقيم وما قاربه وسنذكر كل أقليم من ذلك بما يعرف قربه ومكانه	وأخذت من مملكة الصين ما وراء النهر وانضمت اليها هذه الممالك العظيمة ومملكة الروم يدخل فيها حدود الصقالبة ومن جاورهم من الروس والسرير واللان والأرمن ومن دان بالنصرانية ومملكة الصين يدخل فيها سائر بلدان الأتراك وبعض التبت ومن دان بدين أهل الأوثان منهم ومملكة الهند يدخل فيها السند وقشمير وطرف من التبت ومن دان بدينهم ولم أذكر بلدان السودان فى المغرب والبجة والزنج ومن فى أعراضهم من الأمم لأن انتظام الممالك بالديانات والآداب والحكم وتقويم العمارات بالسياسة المستقيمة وهؤلاء مهملون فى هذه الخصال ولا حظ لهم فى شىء من ذلك فيستحقوا به إفراد ممالكهم بما ذكرت- به سائر الممالك غير أن بعض السودان المقاربين -هذه الممالك المعروفة يرجعون الى ديانة ورياضة وحكم ويقاربون أهل هذه الممالك كالن---وبة والحبشة فإنهم نصارى يرتسمون -مذاهب الروم وقد كانوا قبل الإسلام يتصلون بمملكة الروم على المجاورة لأن أرض النوبة مصاقبة -أرض مصر والحبشة على بحر القلزم وبينهما وبين أرض مصر مفاوز معمورة فيها معادن الذهب ويتصلون بمصر والشأم من طريق بحر القلزم فهذه الممالك المعروفة ولما زادت مملكة الإسلام بما اجتمع اليها من -طرائف هذه الممالك المذكورة شرفت وعظمت وقسمة الأرض على الجنوب والشمال فإذا أخذت من المشرق من الخليج الذي يأخذ من البحر المحيط بأرض الصين الى الخليج الذي يأخذ من هذا البحر المحيط من أرض المغرب بين أرض الاندلس وطنجة فقد قسمت الأرض قسمين وخط هذه القسمة يأخذ من بحر الصين حتى يقطع بلد الهند ووسط مملكة الإسلام حتى يمتد على أرض مصر الى المغرب فما كان فى حد الشمال من هذين القسمين فأهله بيض وكلما تباعدوا فى الشمال ازدادوا بياضا وهى أقاليم باردة وما كان مما يلى الجنوب من هذين القسمين فأ---هله سود وكلما ازدادوا تباعد-ا فى الجنوب ازدادوا سوادا وأعدل هذه الممالك فى------- الخط المستقيم وما قاربه وسأذكر كل إقليم من ذلك بما يعرف قربه ومكانه	2878.5	20	11	300	300	8266618030418736469	3800477849171546139	240	Shamela0011680-ara1.completed	Shamela0011780-ara1.completed
1621	1	77	0	14	989	1340	1654	245	299	-5334324642317135731	7707327246432207837	Shamela0011680-ara1.completed.ms021	Shamela0011780-ara1.completed.ms012	1618	1657	1222	75.38556446637877	الهند وبحر فارس وغربيها مملكة الر-----------------------------------------------------------------------------------------وم وما يتصل بها من الأرمن واللان والران والسرير والخزر والروس و--بلغار والصقالبة وطائفة من الترك و---شماليها---- مملكة الصين وما اتصل بها من بلاد الأتراك وجنوبيها بحر فارس وأما مملكة الروم فإن شرقيها بلاد الإسلام وغربيها وجنوبيها البحر المحيط وشماليها حدود عمل الصين لأنا ضممنا ما بين الأتراك وبلد الروم من الصقالبة وسائر الأمم إ-----------------لى بلد الروم وأما مملكة الصين فإن شرقي-ها وشماليها البحر المحيط وأما جنوبيها فمملكة الإسلام والهند وأما غربيها -فهو البحر المحيط إن جعلنا يأجوج ومأجو-------ج وما وراءهم إلى البحر------- من هذه المملكة وأما أرض الهند فإن شرقيها بحر فارس وغربيها وجنوبيها بلاد الإسلام وشماليها مملكة الصين فهذه حدود هذه الممالك التى ذكرناها وأما البحار فإن أعظ-----------مها بحر فارس --وبحر الروم وهما خليجان متقابلان يأخذان من البحر المحيط وأعظمه-ا طولا وعرضا بحر فارس والذي ينتهى إليه بحر فارس من الأرض -من حد الصين إلى القلزم فإذا قطعت من القلزم إلى الصين على خط مستقيم كان مقداره---- مائتى مرحلة وذلك أنك---------------------------------------------------------------------------------------- إذا قطعت من القلزم إلى أرض العراق فى البرية كان نحوا من------------------------------- شهر ومن العراق إلى نهر بلخ نحوا من شهرين ومن نهر بلخ إلى آخر الإس-----لام فى حد فرغانة نيفا وعشرين مرحلة ومن هناك إلى أن تقطع أرض الخزلجية كلها فتدخل فى عمل التغزغز نيف وثلاثون مرحلة ومن هذا المكان إلى البحر------- من آخر عمل الصين نحو من شهرين فأما من أراد قطع هذه المسافة من القلزم إلى الصين فى البحر طالت المسافة عليه لكثرة المعاطف والتواء الطرق فى هذا البح-ر وأما بحر الروم فإنه يأخذ	الهند وبحر فارس وغربيها مملكة السودان السكان على البحر المحيط المتصلين ببرارى اودغست وصحاريها تجاه اوليل وشماليها بلاد الروم وما يتصل بها من الأرمن واللان والران والسرير والخزر والروس والبلغار والصقالبة وطائفة من الترك ومن شمال-ها بعض مملكة الصين وما اتصل بها من بلاد الأتراك وجنوبيها بحر فارس وأما مملكة الروم فإن شرقيها بلاد الإسلام وغربيها وجنوبيها البحر المحيط وشماليها حدود عمل الصين لأنى ضممت- ما بين الأتراك وبلد الروم من الصقالبة وسائر الأمم التى تلى الروم ظ الى بلد الروم وأما مملكة الصين فإن شماليها وش-رقيها البحر المحيط و----جنوبيها -مملكة الإسلام والهند و----غربيها أيضا البحر المحيط لأن ياجو------------ج وماجوج ومن -اليهم الى البحر المحيط من هذه المملكة وأما أرض الهند فإن شرقيها بحر فارس وغربيها وجنوبيها بلاد خراس-ان وشماليها مملكة الصين فهذه حدود هذه الممالك التى ذكرت-ها وأما البحار فأشهرها اثنان وأعظمها بحر فارس ثم بحر الروم وهما خليجان متقابلان يأخذان من البحر المحيط وأفسحهما طولا وعرضا بحر فارس والذي يقترى----- بحر فارس من الأرض فمن حد الصين الى القلزم فإذا قطعت من القلزم الى الصين على خط مستقيم كان مقداره نحو مائتى مرحلة وكذل---ك إذا شئت أن تقطع من القلزم الى أقصى حجر بالمغرب على خط مستقيم ألفيته مائة وثمانين مرحلة وإذا قطعت من القلزم الى أرض العراق فى البرية على خط مستقيم وشققت أرض السماوة ألفيته نحو شهر ومن العراق الى نهر بلخ نحو---- شهرين ومن نهر بلخ الى آخر بلاد الإسلام فى حد فرغانة نيف- وعشرون مرحلة ومن هناك الى أن تقطع أرض الخرلخية كلها وتدخل فى عمل التغزغز نيف وثل-ثون مرحلة ومن هذا المكان الى البحر المحيط من آخر عمل الصين نحو--- شهرين وأما من أراد قطع هذه المسافة من القلزم الى الصين فى البحر طالت المسافة عليه لكثرة المعاطف والتواء الطرق فى هذه البحور وأما بحر الروم فإنه يأخذ	2157.5	21	12	300	300	-5080630017698569929	-8399654764747013453	189	Shamela0011680-ara1.completed	Shamela0011780-ara1.completed
292	1343	1	246	0	203	1618	283	300	54	-5334324642317135731	7707327246432207837	Shamela0011680-ara1.completed.ms021	Shamela0011780-ara1.completed.ms013	1618	1554	254	86.98630136986301	البحر المحيط فى الخليج الذي بين المغرب وأرض الأندلس حتى ينتهى إلى الثغور الشا----------------مية ومقداره فى المسافة نحو من سبعة أشهر وهو أحسن استقامة واستواء من بحر فارس وذلك أنك إذا أخذت من فم هذا الخليج أدتك ريح واحدة إلى آخ-ر هذا البحر وبين بحر القلزم الذي هو لسان بحر فارس وبين بحر الروم	البحر المحيط فى الخليج الذي بين المغرب والا----ندلس حتى ينتهى الى الثغور التى كانت تعرف بالشأمية ومقداره فى المسافة نحو أر--بعة أشهر وهو أحسن استقامة واستواء من بحر فارس وذلك أنك إذا أخذت من فم هذا الخليج أدتك ريح واحدة الى أكثر هذا البحر وبين---- القلزم الذي هو لسان بحر فارس وبين بحر الروم	473.5	21	13	300	300	-5080630017698569929	-7321903179806920384	45	Shamela0011680-ara1.completed	Shamela0011780-ara1.completed
