align_len	b1	b2	bw1	bw2	ch_match	e1	e2	ew1	ew2	gid1	gid2	id1	id2	len1	len2	matches	matches_percent	s1	s2	score	seq1	seq2	tok1	tok2	uid1	uid2	w_match	series_b1	series_b2
288	1230	622	234	126	154	1471	887	286	183	-1443406072268737492	7240553286051581872	Shia000163Vols-ara1.ms0981	Shia000204Vols-ara1.ms482	1547	1494	201	69.79166666666666	أحبته وفي --صحيحة-- ابن سنان عن الصادق------ عليه السلام-------- في الرجل يشتري---------- الجارية أو الغلام وله أخ أو أخت أو أب أو أم بمصر--- من الأمصار فقال لا يخرجه من مصر إلى مصر آخر إن كان صغيرا ولا يشتريه وإن---------------- كانت له أم فطابت نفسها ونفسه فاشتره إن شئت وهذه هي العمدة	أكر-ه وفي الصحيح عن ابن سنان عن أبي عبد الله عليه السلام أنه قال في الرجل يشتري الغلام أو الجارية---------- وله أخ أو أخت أو أب أو أم بمصر من من الأمصار -قال لا يخرجه------- إلى مصر آخر إن كان صغيرا ولا يشتريه الفقيه والوسائل فإن كانت له أم فطابت نفسها ونفسه فاشتره إن شئت و----في الصحيح	312.5	981	482	300	300	-5151113730423568001	-6229185965925287946	37	Shia000163Vols-ara1	Shia000204Vols-ara1
131	1198	620	223	128	77	1325	734	250	152	-1443406072268737492	7240553286051581872	Shia000163Vols-ara1.ms1617	Shia000204Vols-ara1.ms478	1586	1523	98	74.80916030534351	وحماد وابن أذينة وابن بكير وغير واحد كلهم قالوا قال أبو عبد الله عليه السلام لا صدقة ولا عتق إلا ما أريد به وجه الله تعالى وقد ----	وحماد وابن أذينة وابن بكير وغير واحد عن أبي------------ عبد الله عليه السلام قال -----لا عتق إلا ما أريد به وجه الله تعالى ويستفاد	175.0	1617	478	299	300	-8205599719058115067	4493875711759583243	19	Shia000163Vols-ara1	Shia000204Vols-ara1
327	427	419	82	86	172	732	673	146	140	-1443406072268737492	7240553286051581872	Shia000163Vols-ara1.ms1789	Shia000204Vols-ara1.ms516	1506	1455	221	67.58409785932722	عليه السلام في مكاتب كانت تحته امرأة حرة فأوصت له عند موتها بوصية فقال أهل الميراث لا نجيز وصيتها إ----نه مكاتب لم يعتق ولا يرث فقضى أنه يرث بحساب ما أعتق منه فيجوز له من الوصية بحساب ما أعتق منه وقضى في مكاتب أوصي له بوصية وقد قضى نصف ما عليه فأجاز نصف الوصية وفي مكاتب قضى ربع ما عليه فأجاز ------------------ربع الوصية وقيل	عليه السلام في مكاتب----- تحته------ حرة فأوصت له عند موتها بوصية فقال أهل الم-رأة لا تجوز وصيتها له لأنه مكاتب لم يعتق ولا يرث فقضى أنه يرث بحساب ما أعتق منه ويجوز له من الوصية بحساب ما أعتق منه وقضى في مك-------------------------------------------------------------اتب قضى ربع ما عليه فأوصي له بوصية فأجاز له ربع الوصية وقضى	390.0	1789	516	300	300	3754004949167160359	-8391930067459948445	41	Shia000163Vols-ara1	Shia000204Vols-ara1
352	26	329	5	64	161	301	620	58	120	-1443406072268737492	7240553286051581872	Shia000163Vols-ara1.ms1876	Shia000204Vols-ara1.ms018	1587	1558	203	57.67045454545454	-قال إن من خير نسائكم الولود الودود الستيرة العفيفة العزيزة في أهلها الذليلة مع بعلها المتبرجة مع زوجها الحصان مع- غيره التي تسمع قوله وتطيع أمره وإذا خلا بها بذلت له ما أراد منها و----------لم تبذل له ت-بذل ال------------------------------------------------------------رجل -وقال--- صلى الله عليه وآله وسلم إنكحوا الولود الودود وقال صلى الله علية وآله	فقال إ---ن خير نسائكم الولود الودود-------- العفيفة العزيزة في أهلها الذليلة مع بعلها المتبرجة مع زوجها الحصان على غيره التي تسمع قوله وتطيع أمره وإذا خلا بها بذلت له ما يريد منها ولم تتبذل ولم تبذل ئل كتبذل الرجل وأما استحباب اختيار كريمة الأصل فيمكن أن يستدل عليه بما روي عن النبي صلى الله عليه وآله --------------------------------------------------	351.5	1876	18	300	300	1331186516062136696	1904955782838805647	33	Shia000163Vols-ara1	Shia000204Vols-ara1
603	754	83	147	18	154	1351	294	257	57	-1443406072268737492	7240553286051581872	Shia000163Vols-ara1.ms1876	Shia000204Vols-ara1.ms019	1587	1577	191	31.674958540630183	اللهم إني أريد أن أتزوج فقدر لي من النساء أعفهن فرجا وأحفظهن لي في نفسها ومالي وأوسعهن رزقا وأعظمهن بركة وغير ذلك من الدعاء والاشهاد والاعلان قوله وصلاة ركعتين والدعاء بعدهما وقت هذه الصلاة بعد إرادة التزويج وقبل تعين امرأة مخصوصة أو قبل العقد بقرينة قوله في الدعاء فقدر لي من النساء الخ قال الصادق عليه السلام إذا هم أحدكم بذلك يعني التزويج فليصل ركعتين ويحمد الله ويقول اللهم إني أريد أن أتزوج فقذر لي من النساء أعفهن فرجا وأحفظهن لي في نفسها وفي مالي وأوسعهن رزقا وأعظمهن بركة وقدر لي منها ولدا طيبا تجعله خلفاء صالحا في حياتي وبعد موتي قوله و------الإشهاد والإعلان المشهور بين أصحابنا أن الإشهاد في	اللهم إني أريد أن أتزوج فقدر لي من النساء أعفهن فرجا وأحفظهن لي في نفسها ومالي وأوسعهن رزقا وأعظمهن بر---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------كة وقدر لي----- ولدا طيبا تجعله خلفا- صالحا في حياتي وبعد موتي قوله ويستحب الإشهاد والإعلان أما استحباب الإش-----------هاد في	352.0	1876	19	300	300	1331186516062136696	2439915101923455256	32	Shia000163Vols-ara1	Shia000204Vols-ara1
716	621	475	114	90	271	1155	1114	209	209	-1443406072268737492	7240553286051581872	Shia000163Vols-ara1.ms1877	Shia000204Vols-ara1.ms019	1607	1577	337	47.06703910614525	السابقة ويدل عليه بخصوصه ما روي أن النبي صلى الله عليه وآله وسلم كان يكره نكاح السر حتى يضرب بدف ويقال أتيناكم أتيناكم فحيونا نحييكم قوله والخطبة أمام العقد------- بضم الخاء ----------هي حمد الله تعالى قبل العقد وأكملها إضافة الشهادتين والصلاة على النبي صلى الله عليه وآله -------والوصية بتقوى الله تعالى والدعاء للزوجين---------------------------------------------------------------------------------------------------------------- وإنما استحبت كذلك----------------- للتأسي بالنبي صلى الله عليه وآله وسلم والأئمة عليهم السلام بعده وايقاعه ليلا وخطبهم منقولة في ذلك مشهورة وكذا يستحب خطبة أخرى أمام الخطبة بكسر الخاء من المرأة أو وليها ويس----------------------------تحب للولي أيضا الخطبة ثم الجواب ويجزي في الجميع -	الخصومة ويدل علي-------ه ما روي عن النبي صلى الله عليه وآله أنه- كان يكره نكاح السر حتى يضرب بدف ويقال أتيناكم أتيناكم فحيونا نح-يكم قوله والخطبة أمام العقد الخطبة بضم الخاء ما اشتمل على حمد الله سبحانه والثناء عليه و---------الشهادتين والصلاة على النبي صلى الله عليه وآله والوعظ والوصية بتقوى الله كذا فسرها في التذكرة وفي رواية عبد الله بن ميمون القداح عن الصادق عليه السلام إن علي بن الحسين عليهما السلام قال إذا حمد الله فقد خطب وإنما كانت الخطبة قبل العقد مستحبة للتأسي بالنبي صلى الله عليه وآله----- والأئمة عليهم السلام وأوجبها بعض العامة وذكر في التذكرة إن من خطب ا-------------------------------------------------مرأة يستحب أن يقدم بين يدي خطبته خطبة وأنه يستحب للولي أيضا الخطبة ثم الجواب و-----في الأخبار	481.5	1877	19	300	300	8986932183883261859	2439915101923455256	52	Shia000163Vols-ara1	Shia000204Vols-ara1
433	199	1138	38	213	175	548	1471	103	279	-1443406072268737492	7240553286051581872	Shia000163Vols-ara1.ms1878	Shia000204Vols-ara1.ms019	1638	1577	220	50.80831408775982	ويكره ا---يقاعه والقمر في العقرب للبركة وقول-------------------------------------- الرضا عليه السلام من السنة التزويج بالليل لأن الله عز وجل جعل الليل سكنا والنساء إنما هن سكن وعلل بأنه أقرب إلى المقصود وأقل للانتظار حيث يكون الدخول ليلا والنص أعم من ذلك قوله ويكره ايقاعه والقمر في العقرب ل--------------ما رواه الشيخ وابن باب-------------------------ويه عن---- الصادق عليه السلام قال من تزوج والقمر في العقرب لم ير الحسنى والتزويج	ويكره العقد خ ل والقمر في العقرب وأن يتزوج العقيم قوله وإيقاعه ليلا لقول أبي الحسن الرضا عليه السلام من السنة التزويج بالليل لأن الله تعالى- جعل الليل سكنا والنساء إنما هن سكن قو-------------------------------------------------------------------------------له ويكر-------ه والقمر في العقرب المستند في ذلك ما رواه -------ابن بابويه عن محمد بن حمران عن أبيه عن أبي ال-حسن عليه السلام قال من تزوج والقمر في العقرب لم ير الحسنى قال -----	335.0	1878	19	300	300	-8697908895762187899	2439915101923455256	35	Shia000163Vols-ara1	Shia000204Vols-ara1
489	1392	285	254	54	177	1638	757	300	141	-1443406072268737492	7240553286051581872	Shia000163Vols-ara1.ms1878	Shia000204Vols-ara1.ms021	1638	1560	217	44.376278118609406	-يضع يده على ناصيتها إذا دخلت عليه ويقول اللهم على كتابك تزوجتها وفي أمانتك أخذتها وبكلماتك استحللت فرجها فإن قضيت لي في رحمها شيئا فاجعله مسلما سويا ولا تجعله شرك شيطان و-----أن يكون الدخول ل---------------------------------------------------------------------------------يلا وأن ------------------------------------------------------------------------------------------------------------------------------------------------------------يسمي عند الجماع ويسأل الله تعالى أن يرزقه ولدا ذكرا	فيضع يده على ناصيتها وليقل --------------اللهم على كتابك تزوجتها وفي أمانتك أخذتها وبكلماتك استحللت رحمها فإن قضيت--- في رحمها شيئا فاجعله مسلما سويا ولا تجعله شرك شيطان قوله وأن يكون الدخول ليلا لما رواه ابن بابويه عن السكوني عن أبي عبد الله عليه السلام قال زفوا عرائسكم ليلا وأطعموا ضحى ويكره الدخول ليلة الأربعاء لما رواه الكليني عن عبيد بن زرارة وأبي العباس قالا قال أبو عبد الله عليه السلام ليس للرجل أن يدخل بامرأته ليلة الأربعاء ويسمي عند الجماع ويسأل الله تعالى أن يرزقه ولدا ذكرا	368.5	1878	21	300	300	-8697908895762187899	8213475805828266781	35	Shia000163Vols-ara1	Shia000204Vols-ara1
422	504	1042	99	209	297	885	1461	175	295	-1443406072268737492	7240553286051581872	Shia000163Vols-ara1.ms1879	Shia000204Vols-ara1.ms020	1519	1486	372	88.15165876777252	أبو جعفر عليه السلام-------- إذا أدخلت عليك إن شاء الله فمرهم قبل أن تصل إليك أن تكون متوضئة ثم لا تصل إليها أنت حتى توضأ وتصلي ركعتين ثم مرهم يأمروها أن تصلي أيضا ركعتين ثم تحمد الله تعالى وتصلي على محمد وآله ثم ادع الله ومر من معها أن يؤمنوا على دعائك ثم ادع الله وقل اللهم ارزقني الفها وودها ورضاها بي--- وارضني بها واجمع بيننا بأحسن اجتماع وأنفس--------- ائتلاف فإنك تحب الحلال وتكره--------------------- الحرام واعلم	أبي جعفر عليه السلام أنه قال إذا -دخلت عليك إن شاء الله فمرها قبل أن تصل إليك أن تكون متوضئة ثم لا تصل إليها أنت حتى توضأ وتصلي ركعتين ثم مرهم يأمروها أن تصلي أيضا ركعتين ثم تحمد الله تعالى وتصلي على محمد وآله ثم ادع الله ومر من معها أن يؤمنوا على دعائك ثم ادع الله وقل اللهم ارزقني ألفها وودها ورضاها بي يب وارضني بها واجمع بيننا بأحسن اجتماع وأنفس وأنس خ ل ائتلاف فإنك تحب الحلال وتكره وأن يكون الدخول ليلا الحرام وما --	695.0	1879	20	300	300	-6398533403101716351	5472037996019240304	67	Shia000163Vols-ara1	Shia000204Vols-ara1
232	1094	228	217	42	159	1320	452	260	84	-1443406072268737492	7240553286051581872	Shia000163Vols-ara1.ms1879	Shia000204Vols-ara1.ms021	1519	1560	198	85.34482758620689	-أبو بصير عن أبي عبد الله عليه السلام---- قال -إذا دخلت عليه فليضع يده على ناصيتها ويقول اللهم على كتابك تزوجتها وفي أمانتك أخذتها وبكلماتك استحللت فرجها فإن قضيت لي في رحمها شيئا فاجعله مسلما سويا ولا تجعله شرك شيطان قلت وكيف يكون	لأبي بصير عن أبي جعفر ع----ليه السلام أنه قال فإذا دخلت عليه ف-يضع يده على ناصيتها وليقل اللهم على كتابك تزوجتها وفي أمانتك أخذتها وبكلماتك استحللت رحمها فإن قضيت--- في رحمها شيئا فاجعله مسلما سويا ولا تجعله شرك شيطان قوله وأن يكون	353.5	1879	21	300	300	-6398533403101716351	8213475805828266781	31	Shia000163Vols-ara1	Shia000204Vols-ara1
